,City,State,Population,lat,lon
109,North Little Rock,Arkansas,66075,34.769535999999995,-92.2670941
110,Reno,Nevada,233294,39.5296329,-119.8138027
111,Littleton,Colorado,44275,39.613321,-105.0166498
112,Prescott,Arizona,40590,34.540024200000005,-112.4685025
113,Dublin,California,52105,37.7021521,-121.9357918
114,Texarkana,Texas,37442,33.425125,-94.0476882
115,Portland,Maine,66318,43.661471,-70.2553259
116,Brooklyn Park,Minnesota,78373,45.0941315,-93.3563405
117,West Haven,Connecticut,55046,41.2705484,-72.94697109999998
118,El Centro,California,43363,32.792,-115.5630514
119,The Colony,Texas,39458,33.0806083,-96.8928309
120,Flint,Michigan,99763,43.0125274,-83.6874562
121,Pittsburg,California,66695,38.027976200000005,-121.88468059999998
122,Buckeye,Arizona,56683,33.3703197,-112.58377659999998
123,Brea,California,40963,33.9166805,-117.9000604
124,Indio,California,83539,33.7205771,-116.2155619
125,Scottsdale,Arizona,226918,33.494170399999994,-111.9260519
126,Columbus,Ohio,822553,39.9611755,-82.9987942
127,Lancaster,Pennsylvania,59325,40.0378755,-76.3055144
128,Lincoln,Nebraska,268738,40.8257625,-96.6851982
129,Trenton,New Jersey,84349,40.2170534,-74.74293840000001
130,Boston,Massachusetts,645966,42.3600825,-71.0588801
131,Glendora,California,51074,34.136118700000004,-117.865339
132,Rochester,Minnesota,110742,44.0121221,-92.4801989
133,Florissant,Missouri,52363,38.789217,-90.322614
134,Annapolis,Maryland,38722,38.9784453,-76.4921829
135,Chapel Hill,North Carolina,59635,35.913199600000006,-79.05584449999999
136,Lawrence,Indiana,47135,39.8386516,-86.0252612
137,Calexico,California,39389,32.6789476,-115.4988834
138,Calumet City,Illinois,37240,41.6155909,-87.5294871
139,Missoula,Montana,69122,46.8787176,-113.996586
140,Clovis,California,99769,36.8252277,-119.7029194
141,Pearland,Texas,100065,29.5635666,-95.2860474
142,Gilbert,Arizona,229972,33.3528264,-111.789027
143,Wausau,Wisconsin,39309,44.9591352,-89.6301221
144,Raleigh,North Carolina,431746,35.7795897,-78.6381787
145,Orange,California,139969,33.7877944,-117.8531119
146,Walnut Creek,California,66900,37.9100783,-122.0651819
147,Bremerton,Washington,39056,47.567320200000005,-122.6329356
148,Porterville,California,55174,36.06523,-119.0167679
149,Marana,Arizona,38290,32.436381,-111.2224422
150,Tallahassee,Florida,186411,30.4382559,-84.2807329
151,Conroe,Texas,63032,30.3118769,-95.4560512
152,Blacksburg,Virginia,43609,37.2295733,-80.4139393
153,San Antonio,Texas,1409019,29.4241219,-98.4936282
154,Hartford,Connecticut,125017,41.7637111,-72.6850932
155,Waterloo,Iowa,68366,42.492786,-92.3425775
156,Binghamton,New York,46444,42.0986867,-75.9179738
157,Meridian,Idaho,83596,43.61210870000001,-116.3915131
158,Fond du Lac,Wisconsin,42970,43.7730448,-88.44705079999999
159,Baytown,Texas,75418,29.735504700000003,-94.9774274
160,Cary,North Carolina,151088,35.791540000000005,-78.78111690000001
161,Weymouth Town,Massachusetts,55419,42.2180724,-70.94103559999999
162,Tulsa,Oklahoma,398121,36.1539816,-95.992775
163,Mission,Texas,81050,26.2159066,-98.3252932
164,Cuyahoga Falls,Ohio,49267,41.1339449,-81.48455849999999
165,Malden,Massachusetts,60509,42.4250964,-71.066163
166,Allen,Texas,92020,33.1031744,-96.6705503
167,Tucson,Arizona,526116,32.2217429,-110.926479
168,Franklin,Tennessee,68886,35.9250637,-86.86888990000001
169,Shakopee,Minnesota,39167,44.79739620000001,-93.5272861
170,Jacksonville,Florida,842583,30.3321838,-81.655651
171,Atlantic City,New Jersey,39551,39.3642834,-74.4229266
172,Erie,Pennsylvania,100671,42.1292241,-80.085059
173,Merced,California,81102,37.3021632,-120.48296770000002
174,Abilene,Texas,120099,32.4487364,-99.7331439
175,Yorba Linda,California,67032,33.888625899999994,-117.8131125
176,Greenville,South Carolina,61397,34.8526176,-82.3940104
177,Huntersville,North Carolina,50458,35.410694,-80.8428504
178,St. Clair Shores,Michigan,60070,42.4974085,-82.8963604
179,Harrisburg,Pennsylvania,49188,40.273191100000005,-76.88670079999999
180,San Buenaventura (Ventura),California,108817,34.274646000000004,-119.22903159999998
181,Fremont,California,224922,37.548269700000006,-121.9885719
182,Pueblo,Colorado,108249,38.2544472,-104.6091409
183,Chelsea,Massachusetts,37670,42.3917638,-71.03282840000001
184,Belleville,Illinois,42895,38.5200504,-89.98399350000001
185,Minneapolis,Minnesota,400070,44.977753,-93.2650108
186,Bartlett,Tennessee,58226,35.2045328,-89.8739753
187,Wichita Falls,Texas,104898,33.913708500000006,-98.4933873
188,Missouri City,Texas,70185,29.6185669,-95.5377215
189,St. Louis,Missouri,318416,38.6270025,-90.1994042
190,Pharr,Texas,73790,26.1947962,-98.1836216
191,Albuquerque,New Mexico,556495,35.0853336,-106.6055534
192,Athens-Clarke County,Georgia,119980,33.9519347,-83.357567
193,South Jordan,Utah,59366,40.5621704,-111.929658
194,North Las Vegas,Nevada,226877,36.1988592,-115.1175013
195,Pomona,California,151348,34.055103,-117.7499909
196,Eastvale,California,55191,33.952463,-117.5848025
197,Grove City,Ohio,37490,39.8814519,-83.09296440000001
198,Lawrence,Kansas,90811,38.9716689,-95.2352501
199,Midland,Texas,123933,31.9973456,-102.0779146
200,Oklahoma City,Oklahoma,610613,35.4675602,-97.5164276
201,Oro Valley,Arizona,41627,32.3909071,-110.96648799999998
202,Mesa,Arizona,457587,33.4151843,-111.8314724
203,Norwalk,Connecticut,87776,41.117744,-73.4081575
204,Kentwood,Michigan,50233,42.8694731,-85.6447492
205,Brookfield,Wisconsin,37999,43.0605671,-88.1064787
206,Rockwall,Texas,40922,32.9312336,-96.4597089
207,Mishawaka,Indiana,47989,41.6619927,-86.15861559999999
208,Tustin,California,78327,33.7458511,-117.826166
209,St. Cloud,Minnesota,66297,45.5579451,-94.1632404
210,Passaic,New Jersey,70868,40.8567662,-74.12847640000001
211,Escondido,California,148738,33.1192068,-117.086421
212,San Bruno,California,42443,37.6304904,-122.4110835
213,Berkeley,California,116768,37.87159260000001,-122.272747
214,San Clemente,California,65040,33.4269728,-117.6119925
215,Lawton,Oklahoma,97151,34.6035669,-98.3959291
216,Eau Claire,Wisconsin,67545,44.811349,-91.4984941
217,Maricopa,Arizona,45508,33.058106300000006,-112.0476423
218,DeSoto,Texas,51483,32.589699800000005,-96.8570738
219,Fort Wayne,Indiana,256496,41.079273,-85.13935129999999
220,Shoreline,Washington,54790,47.7556531,-122.3415178
221,Medford,Massachusetts,57170,42.4184296,-71.10616390000001
222,La Habra,California,61653,33.9319578,-117.94617340000002
223,Albany,New York,98424,42.65257929999999,-73.7562317
224,Daly City,California,104739,37.6879241,-122.47020790000002
225,Taylor,Michigan,61817,42.240872,-83.2696509
226,Lynchburg,Virginia,78014,37.4137536,-79.1422464
227,Bowie,Maryland,56759,39.0067768,-76.77913649999999
228,Danbury,Connecticut,83684,41.394817,-73.45401109999999
229,Charlottesville,Virginia,44349,38.0293059,-78.4766781
230,Coral Gables,Florida,49631,25.72149,-80.2683838
231,Coeur d'Alene,Idaho,46402,47.6776832,-116.7804664
232,El Monte,California,115708,34.0686206,-118.0275667
233,Crystal Lake,Illinois,40388,42.2411344,-88.3161965
234,Danville,California,43341,37.8215929,-121.9999606
235,Goodyear,Arizona,72864,33.4353394,-112.3576567
236,Paterson,New Jersey,145948,40.9167654,-74.171811
237,Salem,Oregon,160614,44.9428975,-123.0350963
238,Kissimmee,Florida,65173,28.291955699999995,-81.40757099999999
239,Saginaw,Michigan,50303,43.4194699,-83.9508068
240,Brownsville,Texas,181860,25.9017472,-97.4974838
241,Flower Mound,Texas,68609,33.0145673,-97.0969552
242,Grapevine,Texas,50195,32.9342919,-97.0780654
243,Edina,Minnesota,49376,44.889686600000005,-93.3499489
244,Detroit,Michigan,688701,42.331427000000005,-83.0457538
245,Fairfield,Ohio,42635,39.3454673,-84.56031870000001
246,Mansfield,Texas,60872,32.5631924,-97.1416768
247,Rochester,New York,210358,43.16103,-77.61092190000001
248,Birmingham,Alabama,212113,33.5206608,-86.80249
249,Austin,Texas,885400,30.267153000000004,-97.7430608
250,Santa Barbara,California,90412,34.4208305,-119.6981901
251,Addison,Illinois,37385,41.931696,-87.9889556
252,Rio Rancho,New Mexico,91956,35.2327544,-106.6630437
253,Normal,Illinois,54664,40.5142026,-88.99063120000001
254,Romeoville,Illinois,39650,41.6475306,-88.0895061
255,Coon Rapids,Minnesota,62103,45.1732394,-93.3030063
256,San Mateo,California,101128,37.562991700000005,-122.3255254
257,Orlando,Florida,255483,28.5383355,-81.3792365
258,Casper,Wyoming,59628,42.866632,-106.313081
259,Bedford,Texas,48592,32.844017,-97.1430671
260,Wilmington,North Carolina,112067,34.2257255,-77.9447102
261,Pinellas Park,Florida,49998,27.8428025,-82.6995443
262,North Miami Beach,Florida,43250,25.9331488,-80.1625463
263,Kansas City,Kansas,148483,39.114053000000006,-94.6274636
264,Fitchburg,Massachusetts,40383,42.5834228,-71.8022955
265,Wheeling,Illinois,38015,42.1391927,-87.92895909999999
266,Newton,Massachusetts,87971,42.3370413,-71.2092214
267,North Miami,Florida,61007,25.8900949,-80.18671379999999
268,Norwich,Connecticut,40347,41.5242649,-72.07591049999999
269,Newark,New Jersey,278427,40.735657,-74.1723667
270,Alexandria,Louisiana,48426,31.3112936,-92.4451371
271,Blaine,Minnesota,60407,45.1607987,-93.2349489
272,Harlingen,Texas,65665,26.1906306,-97.6961026
273,Lompoc,California,43509,34.6391501,-120.4579409
274,Denton,Texas,123099,33.2148412,-97.1330683
275,Galveston,Texas,48733,29.3013479,-94.7976958
276,Greenwood,Indiana,53665,39.6136578,-86.10665259999999
277,Salinas,California,155662,36.6777372,-121.6555013
278,Miami Gardens,Florida,111378,25.9420377,-80.2456045
279,Huntington,West Virginia,49177,38.41924960000001,-82.445154
280,Laredo,Texas,248142,27.530567100000003,-99.4803241
281,Melbourne,Florida,77508,28.0836269,-80.6081089
282,Haltom City,Texas,43580,32.799573800000005,-97.2691817
283,Palm Bay,Florida,104898,28.03446210000001,-80.5886646
284,Wilson,North Carolina,49628,35.7212689,-77.91553950000001
285,Bountiful,Utah,43023,40.8893895,-111.880771
286,Ceres,California,46714,37.5949316,-120.9577098
287,Parma,Ohio,80429,41.404774200000006,-81.72290859999998
288,Rapid City,South Dakota,70812,44.0805434,-103.2310149
289,Bell Gardens,California,42889,33.9652918,-118.1514588
290,Commerce City,Colorado,49799,39.8083196,-104.9338675
291,Springfield,Massachusetts,153703,42.1014831,-72.589811
292,Fort Collins,Colorado,152061,40.5852602,-105.084423
293,San Leandro,California,87965,37.7249296,-122.1560768
294,Vista,California,96929,33.2000368,-117.2425355
295,Yonkers,New York,199766,40.9312099,-73.8987469
296,Cincinnati,Ohio,297517,39.1031182,-84.5120196
297,Hagerstown,Maryland,40612,39.6417629,-77.7199932
298,Sanford,Florida,56002,28.802861199999995,-81.269453
299,Union City,New Jersey,68247,40.6975898,-74.2631635
300,Toledo,Ohio,282313,41.6639383,-83.555212
301,Sierra Vista,Arizona,45129,31.5455001,-110.27728559999998
302,Newport News,Virginia,182020,37.0870821,-76.4730122
303,Hammond,Indiana,78967,41.5833688,-87.5000412
304,Buffalo Grove,Illinois,41778,42.1662831,-87.9631308
305,Sugar Land,Texas,83860,29.6196787,-95.6349463
306,Huntsville,Alabama,186254,34.730368799999994,-86.5861037
307,Lodi,California,63338,38.1341477,-121.2722194
308,Edmonds,Washington,40727,47.8106521,-122.3773552
309,Duncanville,Texas,39605,32.6518004,-96.9083366
310,Rocky Mount,North Carolina,56954,35.938210299999994,-77.7905339
311,Pontiac,Michigan,59887,42.6389216,-83.2910468
312,National City,California,59834,32.6781085,-117.0991967
313,Hayward,California,151574,37.6688205,-122.0807964
314,Niagara Falls,New York,49468,43.0962143,-79.03773879999999
315,Sparks,Nevada,93282,39.5349112,-119.7526886
316,Hanford,California,54686,36.3274502,-119.6456844
317,Cypress,California,49087,33.8169599,-118.0372852
318,Youngstown,Ohio,65184,41.0997803,-80.6495194
319,Madison,Alabama,45799,34.6992579,-86.7483318
320,Redlands,California,69999,34.055569299999995,-117.1825381
321,Cape Girardeau,Missouri,38816,37.3058839,-89.51814759999999
322,Nampa,Idaho,86518,43.5407172,-116.5634624
323,Washington,District of Columbia,646449,38.9071923,-77.03687070000001
324,Wheaton,Illinois,53648,41.8661403,-88.1070127
325,Lancaster,Texas,38071,32.5920798,-96.7561082
326,Rialto,California,101910,34.1064001,-117.3703235
327,Fargo,North Dakota,113658,46.8771863,-96.7898034
328,Peoria,Illinois,116513,40.6936488,-89.58898640000001
329,Omaha,Nebraska,434353,41.25236339999999,-95.9979883
330,Rancho Santa Margarita,California,49228,33.640855,-117.603104
331,Manhattan,Kansas,56143,39.1836082,-96.5716694
332,Palm Springs,California,46281,33.8302961,-116.54529209999998
333,San Diego,California,1355896,32.715738,-117.1610838
334,Santa Rosa,California,171990,38.440429,-122.7140548
335,Lowell,Massachusetts,108861,42.633424700000006,-71.3161718
336,Broken Arrow,Oklahoma,103500,36.060949,-95.7974526
337,Kent,Washington,124435,47.380933500000005,-122.2348431
338,Nashville,Tennessee,634464,36.1626638,-86.78160159999999
339,Hackensack,New Jersey,44113,40.8859325,-74.0434736
340,Broomfield,Colorado,59471,39.9205411,-105.0866504
341,Durham,North Carolina,245475,35.99403289999999,-78.898619
342,Wichita,Kansas,386552,37.688889,-97.336111
343,Cathedral City,California,52977,33.780538799999995,-116.4668036
344,Lakeville,Minnesota,58562,44.6496868,-93.24272
345,Elmhurst,Illinois,45556,41.8994744,-87.9403418
346,Weslaco,Texas,37093,26.1595194,-97.9908366
347,Greenfield,Wisconsin,37159,42.9614039,-88.0125865
348,Sunnyvale,California,147559,37.36883,-122.0363496
349,Santa Cruz,California,62864,36.9741171,-122.0307963
350,Kenosha,Wisconsin,99889,42.5847425,-87.8211854
351,State College,Pennsylvania,41757,40.7933949,-77.8600012
352,Mansfield,Ohio,46454,40.758390000000006,-82.51544709999999
353,Quincy,Illinois,40915,39.9356016,-91.4098726
354,Pompano Beach,Florida,104410,26.2378597,-80.1247667
355,San Angelo,Texas,97492,31.4637723,-100.4370375
356,Bloomington,Illinois,78902,40.4842027,-88.9936873
357,Tracy,California,84691,37.7396513,-121.4252227
358,Spartanburg,South Carolina,37647,34.949567200000004,-81.93204820000001
359,Nashua,New Hampshire,87137,42.7653662,-71.467566
360,Macon,Georgia,89981,32.8406946,-83.6324022
361,Hempstead,New York,55361,40.7062128,-73.6187397
362,Camden,New Jersey,76903,39.9259463,-75.1196199
363,Palm Desert,California,50508,33.7222445,-116.3744556
364,Streamwood,Illinois,40351,42.02558270000001,-88.1784085
365,Chesapeake,Virginia,230571,36.7682088,-76.2874927
366,Dublin,Ohio,43607,40.0992294,-83.11407709999999
367,Camarillo,California,66086,34.216393700000005,-119.0376023
368,Muskegon,Michigan,37213,43.2341813,-86.2483921
369,Elizabeth,New Jersey,127558,40.6639916,-74.2107006
370,Anchorage,Alaska,300950,61.2180556,-149.90027780000003
371,Minot,North Dakota,46321,48.23296679999999,-101.2922906
372,Davie,Florida,96830,26.0764783,-80.2521157
373,McAllen,Texas,136639,26.203407100000003,-98.2300124
374,McKinney,Texas,148559,33.197246500000006,-96.6397822
375,Killeen,Texas,137147,31.1171194,-97.7277959
376,Findlay,Ohio,41512,41.04422,-83.6499321
377,Oakland,California,406253,37.8043637,-122.27111370000002
378,Mountain View,California,77846,37.3860517,-122.0838511
379,Lake Elsinore,California,57525,33.668077200000006,-117.3272615
380,Amarillo,Texas,196429,35.2219971,-101.8312969
381,Provo,Utah,116288,40.2338438,-111.6585337
382,Atlanta,Georgia,447841,33.7489954,-84.3879824
383,Monterey Park,California,61085,34.0625106,-118.1228476
384,Strongsville,Ohio,44730,41.3144966,-81.83569
385,Madera,California,63105,36.961335600000005,-120.0607176
386,Decatur,Illinois,74710,39.84031470000001,-88.9548001
387,Woonsocket,Rhode Island,41026,42.0028761,-71.5147839
388,Mobile,Alabama,194899,30.6953657,-88.0398912
389,Vallejo,California,118837,38.1040864,-122.25663670000002
390,Arcadia,California,57639,34.139729200000005,-118.0353449
391,Collierville,Tennessee,47333,35.042036,-89.66452659999999
392,Jefferson City,Missouri,43330,38.57670170000001,-92.1735164
393,Longview,Texas,81443,32.5007037,-94.7404891
394,Chandler,Arizona,249146,33.3061605,-111.8412502
395,Arvada,Colorado,111707,39.8027644,-105.0874842
396,Alhambra,California,84577,34.095287,-118.1270146
397,Kokomo,Indiana,56895,40.486427,-86.13360329999999
398,Oakland Park,Florida,43286,26.1723065,-80.13198929999999
399,Indianapolis,Indiana,843393,39.768403,-86.158068
400,Boynton Beach,Florida,71097,26.531786600000004,-80.0905465
401,Apache Junction,Arizona,37130,33.4150485,-111.5495777
402,Mount Prospect,Illinois,54771,42.066416700000005,-87.9372908
403,Cranston,Rhode Island,80566,41.7798226,-71.4372796
404,Lafayette,Indiana,70373,40.4167022,-86.8752869
405,Olathe,Kansas,131885,38.8813958,-94.8191285
406,Johns Creek,Georgia,82788,34.0289259,-84.19857900000001
407,Greensboro,North Carolina,279639,36.0726354,-79.79197540000001
408,Kalamazoo,Michigan,75548,42.2917069,-85.5872286
409,Tigard,Oregon,50444,45.4312294,-122.7714861
410,Jacksonville,North Carolina,69079,34.7540524,-77.43024140000001
411,Citrus Heights,California,85285,38.7071247,-121.2810611
412,Tuscaloosa,Alabama,95334,33.2098407,-87.5691735
413,Ankeny,Iowa,51567,41.7317884,-93.6001278
414,Hawthorne,California,86199,33.9164032,-118.3525748
415,Hoover,Alabama,84126,33.405386699999994,-86.8113781
416,Delray Beach,Florida,64072,26.4614625,-80.07282009999999
417,Wellington,Florida,60202,26.6617635,-80.2683571
418,Bullhead City,Arizona,39383,35.1359386,-114.5285981
419,Weston,Florida,68388,26.1003654,-80.3997748
420,Troy,Michigan,82821,42.6064095,-83.1497751
421,New Rochelle,New York,79446,40.9114882,-73.78235490000002
422,Stockton,California,298118,37.9577016,-121.29077959999998
423,Royal Oak,Michigan,58946,42.4894801,-83.1446485
424,Titusville,Florida,44206,28.6122187,-80.8075537
425,Laguna Niguel,California,64652,33.5225261,-117.7075526
426,Spokane Valley,Washington,91113,47.6732281,-117.2393748
427,Costa Mesa,California,112174,33.6411316,-117.9186689
428,Grand Prairie,Texas,183372,32.7459645,-96.9977846
429,Portsmouth,Virginia,96205,36.8354258,-76.29827420000001
430,Lacey,Washington,44919,47.0342629,-122.8231915
431,Apex,North Carolina,42214,35.732652,-78.85028559999999
432,Sioux City,Iowa,82459,42.4999942,-96.4003069
433,Encinitas,California,61588,33.0369867,-117.2919818
434,Spanish Fork,Utah,36956,40.114955,-111.654923
435,Huntington Park,California,58879,33.981681200000004,-118.2250725
436,Eden Prairie,Minnesota,62603,44.8546856,-93.470786
437,Peoria,Arizona,162592,33.5805955,-112.2373779
438,Tempe,Arizona,168228,33.4255104,-111.9400054
439,Wilmington,Delaware,71525,39.7390721,-75.5397878
440,Taylorsville,Utah,60519,40.6677248,-111.9388258
441,Westland,Michigan,82578,42.324204,-83.400211
442,Mesquite,Texas,143484,32.7667955,-96.5991593
443,Burlington,North Carolina,51510,36.0956918,-79.43779909999999
444,Garland,Texas,234566,32.912624,-96.6388833
445,Richmond,California,107571,37.9357576,-122.3477486
446,Bismarck,North Dakota,67034,46.8083268,-100.7837392
447,Carson City,Nevada,54080,39.1637984,-119.7674034
448,Muskogee,Oklahoma,38863,35.747876899999994,-95.3696909
449,Augusta-Richmond County,Georgia,197350,33.4734978,-82.0105148
450,Fayetteville,North Carolina,204408,35.0526641,-78.87835849999999
451,Albany,Georgia,76185,31.5785074,-84.155741
452,Sayreville,New Jersey,44412,40.4594021,-74.360846
453,Newark,California,44096,37.5296593,-122.0402399
454,Diamond Bar,California,56449,34.028622600000006,-117.8103367
455,Decatur,Alabama,55816,34.6059253,-86.9833417
456,Chattanooga,Tennessee,173366,35.0456297,-85.3096801
457,Jeffersonville,Indiana,45929,38.27757020000001,-85.7371847
458,Bartlett,Illinois,41679,41.9950276,-88.1856301
459,Baldwin Park,California,76635,34.0852868,-117.96089779999998
460,Miami Beach,Florida,91026,25.790654,-80.1300455
461,Jackson,Tennessee,67685,35.6145169,-88.8139469
462,Port Arthur,Texas,54135,29.8849504,-93.939947
463,San Luis Obispo,California,46377,35.2827524,-120.6596156
464,Burleson,Texas,40714,32.5420821,-97.3208492
465,Newport Beach,California,87273,33.6189101,-117.9289469
466,Riverton,Utah,40921,40.521893,-111.9391023
467,Yakima,Washington,93257,46.6020711,-120.5058987
468,Dayton,Ohio,143355,39.7589478,-84.1916069
469,Gulfport,Mississippi,71012,30.367419800000004,-89.0928155
470,Long Beach,California,469428,33.770050399999995,-118.1937395
471,Chico,California,88077,39.7284944,-121.8374777
472,Hattiesburg,Mississippi,47556,31.3271189,-89.2903392
473,Eugene,Oregon,159190,44.0520691,-123.08675359999998
474,Colton,California,53243,34.0739016,-117.3136547
475,Montebello,California,63495,34.0165053,-118.1137535
476,Pleasanton,California,74110,37.6624312,-121.8746789
477,Everett,Washington,105370,47.9789848,-122.2020794
478,Hutchinson,Kansas,41889,38.0608445,-97.9297743
479,Fairfield,California,109320,38.2493581,-122.0399663
480,Avondale,Arizona,78822,33.4355977,-112.3496021
481,Euclid,Ohio,48139,41.5931049,-81.5267873
482,Battle Creek,Michigan,51848,42.32115220000001,-85.17971419999999
